Entity,Code,Day,stringency_index
Philippines,PHL,2020-01-21,0
Philippines,PHL,2020-01-22,0
Philippines,PHL,2020-01-23,0
Philippines,PHL,2020-01-24,11.11
Philippines,PHL,2020-01-25,11.11
Philippines,PHL,2020-01-26,11.11
Philippines,PHL,2020-01-27,11.11
Philippines,PHL,2020-01-28,11.11
Philippines,PHL,2020-01-29,11.11
Philippines,PHL,2020-01-30,11.11
Philippines,PHL,2020-01-31,19.44
Philippines,PHL,2020-02-01,19.44
Philippines,PHL,2020-02-02,19.44
Philippines,PHL,2020-02-03,19.44
Philippines,PHL,2020-02-04,19.44
Philippines,PHL,2020-02-05,19.44
Philippines,PHL,2020-02-06,19.44
Philippines,PHL,2020-02-07,25
Philippines,PHL,2020-02-08,25
Philippines,PHL,2020-02-09,25
Philippines,PHL,2020-02-10,25
Philippines,PHL,2020-02-11,25
Philippines,PHL,2020-02-12,25
Philippines,PHL,2020-02-13,25
Philippines,PHL,2020-02-14,25
Philippines,PHL,2020-02-15,25
Philippines,PHL,2020-02-16,25
Philippines,PHL,2020-02-17,25
Philippines,PHL,2020-02-18,25
Philippines,PHL,2020-02-19,25
Philippines,PHL,2020-02-20,25
Philippines,PHL,2020-02-21,25
Philippines,PHL,2020-02-22,25
Philippines,PHL,2020-02-23,25
Philippines,PHL,2020-02-24,25
Philippines,PHL,2020-02-25,25
Philippines,PHL,2020-02-26,25
Philippines,PHL,2020-02-27,25
Philippines,PHL,2020-02-28,25
Philippines,PHL,2020-02-29,25
Philippines,PHL,2020-03-01,25
Philippines,PHL,2020-03-02,25
Philippines,PHL,2020-03-03,25
Philippines,PHL,2020-03-04,25
Philippines,PHL,2020-03-05,25
Philippines,PHL,2020-03-06,25
Philippines,PHL,2020-03-07,25
Philippines,PHL,2020-03-08,25
Philippines,PHL,2020-03-09,25
Philippines,PHL,2020-03-10,34.26
Philippines,PHL,2020-03-11,34.26
Philippines,PHL,2020-03-12,34.26
Philippines,PHL,2020-03-13,34.26
Philippines,PHL,2020-03-14,34.26
Philippines,PHL,2020-03-15,75
Philippines,PHL,2020-03-16,75
Philippines,PHL,2020-03-17,75
Philippines,PHL,2020-03-18,97.22
Philippines,PHL,2020-03-19,97.22
Philippines,PHL,2020-03-20,97.22
Philippines,PHL,2020-03-21,97.22
