territory,Models,test,value,val2
ncr,STA + LTA,aic,0.074660231,0.925339769
ncr,NPI + STA + LTA,aic,0.008436537,0.991563463
ncr,NPI + STA,aic,0.160078373,0.839921627
ncr,NPI + LTA,aic,0,1
ncr,NPI,aic,0.634216054,0.365783946
ncr,LTA,aic,1,0
ncr,STA,aic,0.149885911,0.850114089
ph,STA + LTA,aic,0.036583796,0.963416204
ph,STA ,aic,0.033444498,0.966555502
ph,NPI + STA + LTA,aic,1.91E-05,0.9999809
ph,NPI + STA,aic,0.002272638,0.997727362
ph,NPI + LTA,aic,0,1
ph,NPI,aic,0.223410227,0.776589773
ph,LTA,aic,1,0
r3,STA + LTA,aic,0.125933992,0.874066008
r3,STA,aic,0.087803215,0.912196785
r3,NPI + STA + LTA,aic,0.010291096,0.989708904
r3,NPI + STA,aic,0.002116632,0.997883368
r3,NPI + LTA,aic,0,1
r3,NPI,aic,0.933072366,0.066927634
r3,LTA,aic,1,0
r4a,STA + LTA,aic,0.080321755,0.919678245
r4a,STA,aic,0.057526628,0.942473372
r4a,NPI + STA + LTA,aic,0.00873129,0.99126871
r4a,NPI + STA,aic,0.017973005,0.982026995
r4a,NPI + LTA,aic,0,1
r4a,NPI,aic,0.161051137,0.838948863
r4a,LTA,aic,1,0
r6,STA + LTA,aic,0.009180448,0.990819552
r6,STA,aic,0,1
r6,NPI + STA + LTA,aic,0.045194116,0.954805884
r6,NPI + STA,aic,0.005588049,0.994411951
r6,NPI + LTA,aic,0.006571349,0.993428651
r6,NPI,aic,0.605066319,0.394933681
r6,LTA,aic,1,0
r7,STA + LTA,aic,0.057524838,0.942475162
r7,STA ,aic,0.199903103,0.800096897
r7,NPI + STA + LTA,aic,0.019208581,0.980791419
r7,NPI + STA,aic,0.209683269,0.790316731
r7,NPI + LTA,aic,0,1
r7,NPI,aic,1,0
r7,LTA,aic,0.762211226,0.237788774
ncr,STA + LTA,bic,0.075424294,0.924575706
ncr,NPI + STA + LTA,bic,0.018757098,0.981242902
ncr,NPI + STA,bic,0.161716595,0.838283405
ncr,NPI + LTA,bic,0,1
ncr,NPI,bic,0.620238092,0.379761908
ncr,LTA,bic,1,0
ncr,STA,bic,0.1411856,0.8588144
ph,STA + LTA,bic,0.036685522,0.963314478
ph,STA ,bic,0.030756959,0.969243041
ph,NPI + STA + LTA,bic,0.002799728,0.997200272
ph,NPI + STA,bic,0.002278959,0.997721041
ph,NPI + LTA,bic,0,1
ph,NPI,bic,0.218470258,0.781529742
ph,LTA,bic,1,0
r3,STA + LTA,bic,0.127202343,0.872797657
r3,STA,bic,0.078616208,0.921383792
r3,NPI + STA + LTA,bic,0.020466065,0.979533935
r3,NPI + STA,bic,0.00213795,0.99786205
r3,NPI + LTA,bic,0,1
r3,NPI,bic,0.922327205,0.077672795
r3,LTA,bic,1,0
r4a,STA + LTA,bic,0.078572802,0.921427198
r4a,STA,bic,0.044516046,0.955483954
r4a,NPI + STA + LTA,bic,0.016940994,0.983059006
r4a,NPI + STA,bic,0.015363345,0.984636655
r4a,NPI + LTA,bic,0,1
r4a,NPI,bic,0.138522732,0.861477268
r4a,LTA,bic,1,0
r6,STA + LTA,bic,0.035221559,0.964778441
r6,STA,bic,0,1
r6,NPI + STA + LTA,bic,0.097314608,0.902685392
r6,NPI + STA,bic,0.031624132,0.968375868
r6,NPI + LTA,bic,0.03260881,0.96739119
r6,NPI,bic,0.579898066,0.420101934
r6,LTA,bic,1,0
r7,STA + LTA,bic,0.059628741,0.940371259
r7,STA ,bic,0.188927468,0.811072532
r7,NPI + STA + LTA,bic,0.038197928,0.961802072
r7,NPI + STA,bic,0.217352139,0.782647861
r7,NPI + LTA,bic,0,1
r7,NPI,bic,1,0
r7,LTA,bic,0.771801255,0.228198745
ncr,STA + LTA,points,0.777777778,0.777777778
ncr,NPI + STA + LTA,points,1,1
ncr,NPI + STA,points,0,0
ncr,NPI + LTA,points,0.888888889,0.888888889
ncr,NPI,points,0.444444444,0.444444444
ncr,LTA,points,0.444444444,0.444444444
ncr,STA,points,0,0
ph,STA + LTA,points,0.384615385,0.384615385
ph,STA ,points,0.384615385,0.384615385
ph,NPI + STA + LTA,points,0.307692308,0.307692308
ph,NPI + STA,points,0.230769231,0.230769231
ph,NPI + LTA,points,1,1
ph,NPI,points,0,0
ph,LTA,points,0.076923077,0.076923077
r3,STA + LTA,points,0.09375,0.09375
r3,STA,points,0,0
r3,NPI + STA + LTA,points,1,1
r3,NPI + STA,points,0.84375,0.84375
r3,NPI + LTA,points,0.90625,0.90625
r3,NPI,points,0.0625,0.0625
r3,LTA,points,0.03125,0.03125
r4a,STA + LTA,points,0.7,0.7
r4a,STA,points,0.5,0.5
r4a,NPI + STA + LTA,points,0.7,0.7
r4a,NPI + STA,points,0.4,0.4
r4a,NPI + LTA,points,1,1
r4a,NPI,points,0.5,0.5
r4a,LTA,points,0,0
r6,STA + LTA,points,0.9375,0.9375
r6,STA,points,0.0625,0.0625
r6,NPI + STA + LTA,points,0.75,0.75
r6,NPI + STA,points,0.5625,0.5625
r6,NPI + LTA,points,1,1
r6,NPI,points,0,0
r6,LTA,points,0.0625,0.0625
r7,STA + LTA,points,1,1
r7,STA ,points,0,0
r7,NPI + STA + LTA,points,0.8,0.8
r7,NPI + STA,points,0.2,0.2
r7,NPI + LTA,points,0.6,0.6
r7,NPI,points,0.6,0.6
r7,LTA,points,0,0
ncr,STA + LTA,rmse,0.092963181,0.907036819
ncr,NPI + STA + LTA,rmse,0,1
ncr,NPI + STA,rmse,0.137481722,0.862518278
ncr,NPI + LTA,rmse,0.002727013,0.997272987
ncr,NPI,rmse,0.322314371,0.677685629
ncr,LTA,rmse,1,0
ncr,STA,rmse,0.129169096,0.870830904
ph,STA + LTA,rmse,0.103657465,0.896342535
ph,STA ,rmse,0.103518693,0.896481307
ph,NPI + STA + LTA,rmse,0,1
ph,NPI + STA,rmse,0.049840072,0.950159928
ph,NPI + LTA,rmse,0.012843338,0.987156662
ph,NPI,rmse,0.319406273,0.680593727
ph,LTA,rmse,1,0
r3,STA + LTA,rmse,0.167192847,0.832807153
r3,STA,rmse,0.181162523,0.818837477
r3,NPI + STA + LTA,rmse,0,1
r3,NPI + STA,rmse,0.00879857,0.99120143
r3,NPI + LTA,rmse,0.00049236,0.99950764
r3,NPI,rmse,0.903774076,0.096225924
r3,LTA,rmse,1,0
r4a,STA + LTA,rmse,0.106258487,0.893741513
r4a,STA,rmse,0.13449345,0.86550655
r4a,NPI + STA + LTA,rmse,0,1
r4a,NPI + STA,rmse,0.026820637,0.973179363
r4a,NPI + LTA,rmse,0.00806606,0.99193394
r4a,NPI,rmse,0.153616282,0.846383718
r4a,LTA,rmse,1,0
r6,STA + LTA,rmse,0.04747098,0.95252902
r6,STA,rmse,0.103329407,0.896670593
r6,NPI + STA + LTA,rmse,0,1
r6,NPI + STA,rmse,0.052091988,0.947908012
r6,NPI + LTA,rmse,0.02614819,0.97385181
r6,NPI,rmse,0.449061119,0.550938881
r6,LTA,rmse,1,0
r7,STA + LTA,rmse,0.110776729,0.889223271
r7,STA ,rmse,0.168831534,0.831168466
r7,NPI + STA + LTA,rmse,0,1
r7,NPI + STA,rmse,0.158339266,0.841660734
r7,NPI + LTA,rmse,0.003889061,0.996110939
r7,NPI,rmse,0.426069613,0.573930387
r7,LTA,rmse,1,0
