DateRepConf,Count
3/6/20,2
3/7/20,1
3/8/20,4
3/9/20,14
3/10/20,9
3/11/20,16
3/12/20,3
3/13/20,12
3/14/20,47
3/15/20,28
3/16/20,2
3/17/20,45
3/18/20,15
3/19/20,15
3/20/20,13
3/21/20,77
3/22/20,73
3/23/20,80
3/24/20,90
3/25/20,84
3/26/20,70
3/27/20,102
3/28/20,267
3/29/20,342
3/30/20,126
3/31/20,536
4/1/20,227
4/2/20,322
4/3/20,385
4/4/20,75
4/5/20,152
4/6/20,412
4/7/20,104
4/8/20,106
4/9/20,205
4/10/20,119
4/11/20,233
4/12/20,220
4/13/20,284
4/14/20,289
4/15/20,230
4/16/20,206
4/17/20,218
4/18/20,207
4/19/20,171
4/20/20,197
4/21/20,136
4/22/20,109
4/23/20,270
4/24/20,211
4/25/20,102
4/26/20,282
4/27/20,197
4/28/20,180
4/29/20,252
4/30/20,271
5/1/20,281
5/2/20,155
5/3/20,295
5/4/20,260
5/5/20,199
5/6/20,319
5/7/20,334
5/8/20,117
5/9/20,146
5/10/20,180
5/11/20,286
5/12/20,263
5/13/20,265
5/14/20,256
5/15/20,213
5/16/20,214
5/17/20,207
5/18/20,204
5/19/20,223
5/20/20,275
5/21/20,211
5/22/20,163
5/23/20,179
5/24/20,256
5/25/20,282
5/26/20,349
5/27/20,376
5/28/20,533
5/29/20,1039
5/30/20,579
5/31/20,851
6/1/20,547
6/2/20,356
6/3/20,744
6/4/20,630
6/5/20,241
6/6/20,701
6/7/20,547
6/8/20,571
6/9/20,508
6/10/20,722
6/11/20,440
6/12/20,606
6/13/20,601
6/14/20,533
6/15/20,482
6/16/20,361
6/17/20,454
6/18/20,559
6/19/20,648
6/20/20,936
6/21/20,649
6/22/20,623
6/23/20,1134
6/24/20,467
6/25/20,766
6/26/20,995
6/27/20,732
6/28/20,642
6/29/20,967
6/30/20,1044
7/1/20,842
7/2/20,252
7/3/20,1474
7/4/20,1361
7/5/20,2318
7/6/20,1980
7/7/20,1471
7/8/20,2306
7/9/20,1332
7/10/20,1167
7/11/20,1317
7/12/20,2058
7/13/20,811
7/14/20,601
7/15/20,1265
7/16/20,2402
7/17/20,1664
7/18/20,2226
7/19/20,2171
7/20/20,1488
7/21/20,1906
7/22/20,1448
7/23/20,2104
7/24/20,2003
7/25/20,1965
7/26/20,2035
7/27/20,1631
7/28/20,1607
7/29/20,1818
7/30/20,3850
7/31/20,3930
8/1/20,4810
8/2/20,4886
8/3/20,3140
8/4/20,5900
8/5/20,3395
8/6/20,3460
8/7/20,3299
